id_movimiento,id_sucursal,id_producto,fecha_registro,detalle,valorUnitario,cantidad,total,tipo
1,4,58,2022-01-03 08:00:00+00:00,Cortina de ducha,16.01,51,816.51,E
2,3,67,2022-01-03 08:54:00+00:00,Patines en línea,65.1,1,65.1,E
3,3,60,2022-01-03 10:42:00+00:00,Espejo de pared,38.42,25,960.5,E
4,2,45,2022-01-03 11:36:00+00:00,Consola de videojuegos Xbox,377.17,3,1131.51,E
5,4,107,2022-01-03 12:30:00+00:00,Carro de carreras,11.07,157,1737.99,E
6,2,53,2022-01-03 13:24:00+00:00,Toallas de baño,10.36,91,942.76,E
7,2,95,2022-01-03 14:18:00+00:00,Mantequilla de mano,2.88,34,97.92,E
8,1,95,2022-01-03 15:12:00+00:00,Mantequilla de mano,2.72,44,119.68,E
9,1,6,2022-01-04 08:00:00+00:00,Falda plisada,20.06,29,581.74,E
10,1,37,2022-01-04 08:00:00+00:00,Smartphone Samsung Galaxy,486.58,9,4379.22,E
11,2,57,2022-01-04 08:00:00+00:00,Cafetera,33.16,19,630.04,E
12,3,64,2022-01-04 08:00:00+00:00,Guantes de boxeo,40.55,14,567.7,E
13,4,20,2022-01-04 08:00:00+00:00,Mocasines de ante,50.96,22,1121.12,E
14,4,93,2022-01-04 08:00:00+00:00,Cereal,2.06,66,135.96,E
15,5,1,2022-01-04 08:00:00+00:00,Camisa de algodón,18.42,102,1878.84,E
16,1,66,2022-01-04 08:54:00+00:00,Casco de ciclismo,65.41,3,196.23,E
17,2,9,2022-01-04 08:54:00+00:00,Pijama de algodón,12.78,81,1035.18,E
18,2,59,2022-01-04 08:54:00+00:00,Estantería de madera,84.47,12,1013.64,E
19,2,84,2022-01-04 08:54:00+00:00,Agua micelar desmaquillante,10.03,75,752.25,E
20,4,5,2022-01-04 08:54:00+00:00,Sudadera con capucha,26.05,36,937.8,E
21,4,25,2022-01-04 08:54:00+00:00,Sandalias de tacón,40.62,3,121.86,E
22,4,95,2022-01-04 08:54:00+00:00,Mantequilla de mano,2.71,48,130.08,E
23,1,24,2022-01-04 09:48:00+00:00,Botines de cuero,62.5,14,875.0,E
24,1,107,2022-01-04 09:48:00+00:00,Carro de carreras,11.29,160,1806.4,E
25,2,124,2022-01-04 09:48:00+00:00,Armónica Hohner Special 20,32.84,1,32.84,E
26,3,49,2022-01-04 09:48:00+00:00,Alfombra roja,53.68,25,1342.0,E
27,3,69,2022-01-04 09:48:00+00:00,Pelota de golf,11.94,5,59.7,E
28,3,105,2022-01-04 09:48:00+00:00, Orgullo y prejuicio,10.98,135,1482.3,E
29,4,48,2022-01-04 09:48:00+00:00,Juego de sabanas,36.57,54,1974.78,E
30,2,23,2022-01-04 10:42:00+00:00,Tennis,88.28,19,1677.32,E
31,2,48,2022-01-04 10:42:00+00:00,Juego de sabanas,38.35,58,2224.3,E
32,2,67,2022-01-04 10:42:00+00:00,Patines en línea,68.4,2,136.8,E
33,2,118,2022-01-04 10:42:00+00:00,Piano digital Casio Privia,728.61,1,728.61,E
34,4,27,2022-01-04 10:42:00+00:00,Zapatos náuticos,36.02,39,1404.78,E
35,4,51,2022-01-04 10:42:00+00:00,Cojines decorativos,8.32,95,790.4,E
36,5,82,2022-01-04 10:42:00+00:00,Kit de manicura y pedicura,22.2,33,732.6,E
37,1,113,2022-01-04 11:36:00+00:00,Juguete de peluche,6.56,245,1607.2,E
38,2,61,2022-01-04 11:36:00+00:00,Pelota de fútbol,15.09,3,45.27,E
39,4,34,2022-01-04 11:36:00+00:00,Cámara Nikon,523.89,2,1047.78,E
40,4,74,2022-01-04 11:36:00+00:00,Tabla de surf,314.67,1,314.67,E
41,4,88,2022-01-04 11:36:00+00:00,Sardinas en lata,0.73,43,31.39,E
42,4,115,2022-01-04 11:36:00+00:00,Juego de bolos,16.67,105,1750.35,E
43,5,111,2022-01-04 11:36:00+00:00,Figura de acción,8.75,156,1365.0,E
44,1,19,2022-01-04 12:30:00+00:00,Sandalias de playa,12.48,46,574.08,E
45,1,51,2022-01-04 12:30:00+00:00,Cojines decorativos,7.87,91,716.17,E
46,1,61,2022-01-04 12:30:00+00:00,Pelota de fútbol,14.45,4,57.8,E
47,1,77,2022-01-04 12:30:00+00:00,Mascarilla capilar reparadora,8.9,54,480.6,E
48,2,78,2022-01-04 12:30:00+00:00,Set de brochas de maquillaje,25.49,23,586.27,E
49,3,23,2022-01-04 12:30:00+00:00,Zapatillas de running,96.82,16,1549.12,E
50,3,26,2022-01-04 12:30:00+00:00,Zapatillas de baloncesto,122.59,2,245.18,E
51,1,42,2022-01-04 13:24:00+00:00,Teclado mecánico Logitech,81.33,14,1138.62,E
52,2,37,2022-01-04 13:24:00+00:00,Smartphone Samsung Galaxy,426.93,10,4269.3,E
53,2,65,2022-01-04 13:24:00+00:00,Balón de baloncesto,18.96,5,94.8,E
54,2,107,2022-01-04 13:24:00+00:00,Carro de carreras,12.24,155,1897.2,E
55,3,75,2022-01-04 13:24:00+00:00,Equipo de buceo,421.61,1,421.61,E
56,3,106,2022-01-04 13:24:00+00:00,Muñeca Barbie,13.51,109,1472.59,E
57,4,106,2022-01-04 13:24:00+00:00,Muñeca Barbie,15.96,100,1596.0,E
58,1,33,2022-01-04 14:18:00+00:00,Tablet Samsung,325.39,16,5206.24,E
59,1,65,2022-01-04 14:18:00+00:00,Balón de baloncesto,18.07,8,144.56,E
60,3,40,2022-01-04 14:18:00+00:00,Drone DJI Mavic Air 2,631.38,3,1894.14,E
61,3,52,2022-01-04 14:18:00+00:00,Cortinas opacas,19.53,42,820.26,E
62,3,53,2022-01-04 14:18:00+00:00,Toallas de baño,11.11,83,922.13,E
63,5,16,2022-01-04 14:18:00+00:00,Zapatos deportivos,61.09,47,2871.23,E
64,5,74,2022-01-04 14:18:00+00:00,Tabla de surf,317.35,1,317.35,E
65,1,56,2022-01-04 15:12:00+00:00,Ollas y sartenes,56.88,11,625.68,E
66,1,97,2022-01-04 15:12:00+00:00, Cien años de soledad,10.27,237,2433.99,E
67,1,115,2022-01-04 15:12:00+00:00,Juego de bolos,18.13,97,1758.61,E
68,1,117,2022-01-04 15:12:00+00:00,Batería electrónica,329.97,1,329.97,E
69,3,51,2022-01-04 15:12:00+00:00,Cojines decorativos,8.23,101,831.23,E
70,4,1,2022-01-04 15:12:00+00:00,Camisa de algodón,17.44,92,1604.48,E
71,4,3,2022-01-04 15:12:00+00:00,Chaqueta de cuero,122.96,18,2213.28,E
72,2,35,2022-01-04 16:06:00+00:00,Reproductor de Blu-ray LG,46.77,37,1730.49,E
73,2,46,2022-01-04 16:06:00+00:00,Sofá gris,101.33,100,10133.0,E
74,3,9,2022-01-04 16:06:00+00:00,Pijama de algodón,11.55,78,900.9,E
75,3,94,2022-01-04 16:06:00+00:00,Galletas,1.17,129,150.93,E
76,3,123,2022-01-04 16:06:00+00:00,Sintetizador Korg minilogue xd,441.86,1,441.86,E
77,4,65,2022-01-04 16:06:00+00:00,Balón de baloncesto,19.46,2,38.92,E
78,1,40,2022-01-04 17:00:00+00:00,Drone DJI Mavic Air 2,622.75,2,1245.5,E
79,1,83,2022-01-04 17:00:00+00:00,Barra de labios nude,7.55,177,1336.35,E
80,4,24,2022-01-04 17:00:00+00:00,Botines de cuero,69.43,11,763.73,E
81,4,81,2022-01-04 17:00:00+00:00,Loción corporal de vainilla,10.4,120,1248.0,E
82,5,26,2022-01-04 17:00:00+00:00,Zapatillas de baloncesto,107.05,9,963.45,E
83,5,123,2022-01-04 17:00:00+00:00,Sintetizador Korg minilogue xd,442.93,1,442.93,E
84,1,16,2022-01-04 17:54:00+00:00,Zapatos deportivos,58.31,33,1924.23,E
85,3,20,2022-01-04 17:54:00+00:00,Mocasines de ante,54.77,17,931.09,E
86,4,52,2022-01-04 17:54:00+00:00,Cortinas opacas,16.68,38,633.84,E
87,4,68,2022-01-04 17:54:00+00:00,Caña de pescar,40.76,8,326.08,E
88,4,78,2022-01-04 17:54:00+00:00,Set de brochas de maquillaje,28.49,17,484.33,E
89,5,92,2022-01-04 17:54:00+00:00,Mermelada de fresa,1.85,22,40.7,E
90,2,29,2022-01-04 18:48:00+00:00,Mocasines de cuero,43.14,18,776.52,E
91,4,9,2022-01-04 18:48:00+00:00,Pijama de algodón,10.83,95,1028.85,E
92,4,11,2022-01-04 18:48:00+00:00,Chaleco de lana,32.79,22,721.38,E
93,5,61,2022-01-04 18:48:00+00:00,Pelota de fútbol,15.65,3,46.95,E
94,5,121,2022-01-04 18:48:00+00:00,Amplificador de guitarra,106.33,2,212.66,E
95,2,33,2022-01-04 19:42:00+00:00,Tablet Samsung,304.1,19,5777.9,E
96,2,38,2022-01-04 19:42:00+00:00,Auriculares inalámbricos Bose,166.92,18,3004.56,E
97,2,88,2022-01-04 19:42:00+00:00,Sardinas en lata,0.77,37,28.49,E
98,3,50,2022-01-04 19:42:00+00:00,Lámpara de techo,22.94,213,4886.22,E
99,1,101,2022-01-04 20:36:00+00:00, El Hobbit,6.47,477,3086.19,E
100,4,38,2022-01-04 20:36:00+00:00,Auriculares inalámbricos Bose,169.19,17,2876.23,E
101,5,12,2022-01-04 20:36:00+00:00,Gorra de béisbol,9.64,112,1079.68,E
102,5,17,2022-01-04 20:36:00+00:00,Zapatillas de lona,20.06,94,1885.64,E
103,5,57,2022-01-04 20:36:00+00:00,Cafetera,31.52,21,661.92,E
104,5,66,2022-01-04 20:36:00+00:00,Casco de ciclismo,53.33,6,319.98,E
105,2,91,2022-01-04 21:30:00+00:00,Leche en polvo,2.84,58,164.72,E
106,3,47,2022-01-04 21:30:00+00:00,Mesa de comedor,66.74,41,2736.34,E
107,4,98,2022-01-04 21:30:00+00:00, Don Quijote de la Mancha,12.87,165,2123.55,E
108,5,33,2022-01-04 21:30:00+00:00,Tablet Samsung,279.98,20,5599.6,E
109,5,50,2022-01-04 21:30:00+00:00,Lámpara de techo,23.65,182,4304.3,E
110,1,11,2022-01-04 22:24:00+00:00,Chaleco de lana,38.13,29,1105.77,E
111,1,17,2022-01-04 22:24:00+00:00,Zapatillas de lona,20.8,97,2017.6,E
112,1,103,2022-01-04 22:24:00+00:00, El Señor de los Anillos,16.71,291,4862.61,E
113,1,114,2022-01-04 22:24:00+00:00,Instrumento musical,29.43,45,1324.35,E
114,4,120,2022-01-04 22:24:00+00:00,Teclado Yamaha PSR-E373,209.7,1,209.7,E
115,5,35,2022-01-04 22:24:00+00:00,Reproductor de Blu-ray LG,54.03,42,2269.26,E
116,1,41,2022-01-04 23:18:00+00:00,Proyector Epson,414.75,4,1659.0,E
117,3,83,2022-01-04 23:18:00+00:00,Barra de labios nude,7.42,210,1558.2,E
118,4,40,2022-01-04 23:18:00+00:00,Drone DJI Mavic Air 2,573.11,2,1146.22,E
119,4,103,2022-01-04 23:18:00+00:00, El Señor de los Anillos,15.6,292,4555.2,E
120,5,31,2022-01-04 23:18:00+00:00,Televisor LED de 50 pulgadas,468.74,17,7968.58,E
121,5,60,2022-01-04 23:18:00+00:00,Espejo de pared,36.16,19,687.04,E
122,1,4,2022-01-05 00:12:00+00:00,Vestido de fiesta,51.58,22,1134.76,E
123,2,63,2022-01-05 00:12:00+00:00,Bicicleta de montaña,402.27,1,402.27,E
124,2,103,2022-01-05 00:12:00+00:00, El Señor de los Anillos,15.28,324,4950.72,E
125,2,114,2022-01-05 00:12:00+00:00,Instrumento musical,27.64,37,1022.68,E
126,4,97,2022-01-05 00:12:00+00:00, Cien años de soledad,10.05,267,2683.35,E
127,4,111,2022-01-05 00:12:00+00:00,Figura de acción,8.89,126,1120.14,E
128,2,105,2022-01-05 01:06:00+00:00, Orgullo y prejuicio,10.81,168,1816.08,E
129,3,59,2022-01-05 01:06:00+00:00,Estantería de madera,80.73,9,726.57,E
130,4,26,2022-01-05 01:06:00+00:00,Zapatillas de baloncesto,124.07,5,620.35,E
131,5,24,2022-01-05 01:06:00+00:00,Botines de cuero,64.06,15,960.9,E
132,5,51,2022-01-05 01:06:00+00:00,Cojines decorativos,7.24,102,738.48,E
133,5,80,2022-01-05 01:06:00+00:00,Aceite corporal de almendras,14.89,61,908.29,E
134,1,111,2022-01-05 02:00:00+00:00,Figura de acción,8.73,134,1169.82,E
135,2,102,2022-01-05 02:00:00+00:00, Matar a un ruiseñor,5.58,201,1121.58,E
136,2,108,2022-01-05 02:00:00+00:00,Juego de bloques,18.81,90,1692.9,E
137,3,35,2022-01-05 02:00:00+00:00,Reproductor de Blu-ray LG,50.6,47,2378.2,E
138,3,63,2022-01-05 02:00:00+00:00,Bicicleta de montaña,405.68,1,405.68,E
139,5,68,2022-01-05 02:00:00+00:00,Caña de pescar,45.57,3,136.71,E
140,1,110,2022-01-05 02:54:00+00:00,Juego de mesa,22.51,60,1350.6,E
141,2,110,2022-01-05 02:54:00+00:00,Juego de mesa,23.24,44,1022.56,E
142,3,97,2022-01-05 02:54:00+00:00, Cien años de soledad,8.88,229,2033.52,E
143,4,33,2022-01-05 02:54:00+00:00,Tablet Samsung,270.39,22,5948.58,E
144,4,79,2022-01-05 02:54:00+00:00,Esmalte de uñas rojo intenso,5.35,139,743.65,E
145,1,54,2022-01-05 03:48:00+00:00,Cubiertos de acero inoxidable,27.37,31,848.47,E
146,1,108,2022-01-05 03:48:00+00:00,Juego de bloques,17.99,109,1960.91,E
147,2,112,2022-01-05 03:48:00+00:00,Rompecabezas,13.68,87,1190.16,E
148,3,2,2022-01-05 03:48:00+00:00,Pantalón vaquero,33.84,55,1861.2,E
149,4,70,2022-01-05 03:48:00+00:00,Mancuernas,30.23,5,151.15,E
150,3,62,2022-01-05 04:42:00+00:00,Raqueta de tenis,66.74,3,200.22,E
151,3,107,2022-01-05 04:42:00+00:00,Carro de carreras,10.13,173,1752.49,E
152,3,124,2022-01-05 04:42:00+00:00,Armónica Hohner Special 20,30.0,1,30.0,E
153,4,119,2022-01-05 04:42:00+00:00,Trompeta Jupiter JTR700,496.41,1,496.41,E
154,5,10,2022-01-05 04:42:00+00:00,Traje de bajo,38.77,20,775.4,E
155,1,81,2022-01-05 05:36:00+00:00,Loción corporal de vainilla,10.75,112,1204.0,E
